MS:1000894_[sec]	MS:1000040	MS:1000041	S/N	peak_count
4405.3826	480.801605224609	2	5.83657	117
4409.6484	486.802856445313	2	4.47058	112
4423.9652	530.318298339844	2	13.4483	67
4425.4985	544.826171875	2	6.52251	185
4427.5231	521.805053710938	2	9.12334	115
4429.5201	553.339233398438	2	4.93086	112
4432.1978	655.385437011719	2	9.09705	106
4435.9954	626.330383300781	2	5.71408	149
4445.734	524.827087402344	2	13.721	49
4446.4254	533.339233398438	2	20.0073	43
4446.7482	516.314270019531	2	17.6646	34
4447.0709	535.816040039063	2	13.1348	99
4447.3972	472.287780761719	2	5.86181	36
4447.8756	549.836120605469	2	6.05657	43
4449.6002	547.356018066406	2	24.0705	62
4450.4003	494.299530029297	2	6.93449	51
4450.8609	480.800964355469	2	22.4013	31
4451.375	635.3857	2	24.9593	84
4455.2987	502.813659667969	2	10.4205	31
4456.9592	549.833374023438	2	5.00237	40
4466.5222	524.827331542969	2	15.5454	36
4467.2098	533.339477539063	2	17.5357	31
4467.5343	535.816162109375	2	13.9142	119
4467.8615	516.314514160156	2	14.8044	30
4469.8944	588.377258300781	2	10.4695	219
4476.9443	685.910949707031	2	8.86934	101
4480.3829	585.366943359375	2	9.25448	68
4483.6525	451.932891845703	3	8.41215	126
4485.0003	511.330780029297	2	9.47779	100
4489.7816	457.608581542969	3	9.40503	111
4491.0621	558.839782714844	2	7.88249	90
4493.3512	588.376953125	2	9.9201	220
4495.8922	677.398132324219	2	10.768	80
4496.8554	694.4238	2	11.8951	87
4498.3956	685.911560058594	2	10.665	59
4499.3149	463.284149169922	3	8.79479	94
4500.9379	696.903686523438	2	10.6182	137
4504.836	451.933166503906	3	9.53374	90
4505.8012	585.364562988281	2	6.71974	68
4508.881	688.387573242188	2	6.95775	160
4511.7207	457.608184814453	3	9.05328	98
4513.6927	468.959777832031	3	11.9117	153
4516.8196	694.4248046875	2	10.2088	73
4517.9161	677.398071289063	2	8.78938	71
4519.1694	685.910827636719	2	11.5153	85
4520.364	463.283050537109	3	9.68563	117
4522.8953	546.839538574219	2	13.4837	55
4524.1906	560.306518554688	2	38.1476	133
4525.6009	729.934509277344	2	8.99422	106
4527.5719	569.370056152344	2	15.9584	232
4533.0959	538.326171875	2	23.4947	37
4534.4251	557.830261230469	2	14.1502	120
4535.2666	707.923828125	2	12.6119	74
4536.457	699.413208007813	2	16.3415	85
4537.65	729.938293457031	2	7.22141	119
4540.0629	718.915283203125	2	11.8119	215
4542.9573	486.961029052734	3	14.7673	233
4545.3404	481.282165527344	3	12.6731	200
4547.096	511.329	2	4.62355	98
4552.9969	546.839904785156	2	15.2439	38
4554.4224	466.608215332031	3	10.4586	97
4555.4503	716.436279296875	2	12.3189	75
4556.2341	477.959411621094	3	8.92121	156
4557.041	710.400024414063	2	7.1413	155
4558.4848	627.886535644531	2	5.18979	56
4564.0963	707.924743652344	2	11.6856	84
4565.2344	699.411193847656	2	12.4657	65
4565.9942	718.916931152344	2	11.0441	177
4568.0639	472.284149169922	3	8.93208	127
4569.224	483.635223388672	3	8.2273	169
4571.0408	490.25732421875	3	7.94976	250
4575.0533	580.854736328125	2	7.76785	95
4584.2825	495.959442138672	3	9.3752	121
4585.9468	751.94775390625	2	8.38473	79
4588.8883	760.461853027344	2	5.97043	99
4592.2863	512.987548828125	3	8.59596	123
4596.8582	501.635559082031	3	9.42727	158
4599.2232	507.310760498047	3	7.3728	149
4603.6463	481.2831	3	11.0465	156
4607.2064	577.367980957031	2	5.19519	89
4613.8161	527.3048	2	4.15748	156
4625.3171	481.283	3	8.68365	165
4634.7943	494.303649902344	2	5.24981	159
4649.6614	546.840576171875	2	13.3792	77
4653.193	602.046813964844	3	11.982	282
4668.7499	494.304626464844	2	5.04777	115
4682.6106	516.3155	2	3.57388	65
4695.1427	719.354370117188	2	8.40308	233
4706.3066	494.300231933594	2	4.24328	111
4718.0009	719.354431152344	2	9.67174	222
4724.0303	511.328552246094	2	4.82757	67
4737.8899	494.301849365234	2	4.75579	85
4752.7277	564.033874511719	3	18.2292	260
4758.2985	538.301818847656	2	29.3996	147
4763.4797	560.839477539063	2	11.5621	78
4776.6739	535.8192	2	17.8235	186
4784.6532	555.353759765625	2	5.94713	86
4792.4581	546.841552734375	2	7.29717	138
4799.4964	527.3058	2	9.47296	149
4809.7862	489.965026855469	3	12.0006	238
4830.5534	489.963012695313	3	10.6161	200
4839.3523	555.354675292969	2	5.3669	114
4865.796	626.025268554688	3	16.9826	330
4872.8386	549.818054199219	2	7.38065	114
4886.7089	626.025329589844	3	15.2836	277
